date,time,market-val,margin,fund-avail,total-asset,profit,commission,account,mode
2021-01-06,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2021-01-07,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2021-01-08,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2021-01-11,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2021-01-12,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2021-01-13,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2021-01-14,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2021-01-15,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2021-01-18,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2021-01-19,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2021-01-20,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2021-01-21,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2021-01-22,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2021-01-25,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2021-01-26,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2021-01-27,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2021-01-28,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2021-01-29,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2021-02-01,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2021-02-02,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2021-02-03,16:00:00,105570,105570,1328.65,106898.65,6898.65,691.35,stock,VMT
2021-02-04,16:00:00,107640,107640,1328.65,108968.65,8968.65,691.35,stock,VMT
2021-02-05,16:00:00,108000,108000,1328.65,109328.65,9328.65,691.35,stock,VMT
2021-02-08,16:00:00,107550,107550,1328.65,108878.65,8878.65,691.35,stock,VMT
2021-02-09,16:00:00,110070,110070,1328.65,111398.65,11398.65,691.35,stock,VMT
2021-02-10,16:00:00,110250,110250,1328.65,111578.65,11578.65,691.35,stock,VMT
2021-02-18,16:00:00,117000,117000,1328.65,118328.65,18328.65,691.35,stock,VMT
2021-02-19,16:00:00,121950,121950,1328.65,123278.65,23278.65,691.35,stock,VMT
2021-02-22,16:00:00,121500,121500,1328.65,122828.65,22828.65,691.35,stock,VMT
2021-02-23,16:00:00,120870,120870,1328.65,122198.65,22198.65,691.35,stock,VMT
2021-02-24,16:00:00,121230,121230,1328.65,122558.65,22558.65,691.35,stock,VMT
2021-02-25,16:00:00,122850,122850,1328.65,124178.65,24178.65,691.35,stock,VMT
2021-02-26,16:00:00,118620,118620,1328.65,119948.65,19948.65,691.35,stock,VMT
2021-03-01,16:00:00,121410,121410,1328.65,122738.65,22738.65,691.35,stock,VMT
2021-03-02,16:00:00,120060,120060,1328.65,121388.65,21388.65,691.35,stock,VMT
2021-03-03,16:00:00,122490,122490,1328.65,123818.65,23818.65,691.35,stock,VMT
2021-03-04,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-03-05,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-03-08,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-03-09,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-03-10,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-03-11,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-03-12,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-03-15,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-03-16,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-03-17,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-03-18,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-03-19,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-03-22,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-03-23,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-03-24,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-03-25,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-03-26,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-03-29,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-03-30,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-03-31,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-04-01,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-04-02,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-04-06,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-04-07,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-04-08,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-04-09,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-04-12,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-04-13,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-04-14,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-04-15,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-04-16,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-04-19,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-04-20,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-04-21,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-04-22,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-04-23,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-04-26,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-04-27,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-04-28,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-04-29,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
2021-04-30,16:00:00,0,0,120890.2,120890.2,20890.2,919.8,stock,VMT
