date,time,inst-id,direction,cost-price,last-price,volume,avail-vol,amt,pnl,account
2021-11-17,16:00:00,000063.XSHE.CS,L,28.930000000000007,32.08,10900,10900,349672,34334.999999999905,
2021-11-18,16:00:00,000063.XSHE.CS,L,28.930000000000007,31.82,10900,10900,346838,31500.999999999927,
2021-11-18,16:00:00,600106.XSHG.CS,L,2.61,2.57,121700,121700,312769,-4868.000000000005,
2021-11-18,16:00:00,000019.XSHE.CS,L,6.91,6.76,45800,45800,309608,-6870.000000000016,
2021-11-19,16:00:00,000019.XSHE.CS,L,6.91,6.78,45800,45800,310524,-5953.999999999995,
2021-11-19,16:00:00,000063.XSHE.CS,L,28.930000000000007,31.99,10900,10900,348691,33353.999999999905,
2021-11-19,16:00:00,600106.XSHG.CS,L,2.61,2.58,121700,121700,313986,-3650.9999999999764,
2021-11-22,16:00:00,000019.XSHE.CS,L,6.91,6.78,45800,45800,310524,-5953.999999999995,
2021-11-22,16:00:00,000063.XSHE.CS,L,28.930000000000007,32.4,10900,10900,353160,37822.99999999991,
2021-11-22,16:00:00,600106.XSHG.CS,L,2.61,2.57,121700,121700,312769,-4868.000000000005,
2021-11-23,16:00:00,000019.XSHE.CS,L,6.91,6.76,45800,45800,309608,-6870.000000000016,
2021-11-23,16:00:00,000063.XSHE.CS,L,28.930000000000007,32.42,10900,10900,353378,38040.99999999994,
2021-11-23,16:00:00,600106.XSHG.CS,L,2.61,2.77,121700,121700,337109,19472.00000000002,
2021-11-24,16:00:00,000063.XSHE.CS,L,28.930000000000007,32.65,10900,10900,355885,40547.99999999991,
2021-11-24,16:00:00,600106.XSHG.CS,L,2.61,2.77,121700,121700,337109,19472.00000000002,
2021-11-24,16:00:00,000019.XSHE.CS,L,6.91,6.75,45800,45800,309150,-7328.000000000006,
2021-11-25,16:00:00,600106.XSHG.CS,L,2.61,2.95,121700,121700,359015,41378.00000000004,
2021-11-25,16:00:00,000019.XSHE.CS,L,6.91,6.73,45800,45800,308234,-8243.999999999987,
2021-11-25,16:00:00,000063.XSHE.CS,L,28.930000000000007,32.16,10900,10900,350543.99999999994,35206.99999999989,
2021-11-26,16:00:00,000019.XSHE.CS,L,6.91,6.66,45800,45800,305028,-11450,
2021-11-26,16:00:00,000063.XSHE.CS,L,28.930000000000007,31.22,10900,10900,340298,24960.999999999913,
2021-11-26,16:00:00,600106.XSHG.CS,L,2.61,3.25,121700,121700,395525,77888.00000000001,
2021-11-29,16:00:00,000019.XSHE.CS,L,6.91,6.69,45800,45800,306402,-10075.999999999989,
2021-11-29,16:00:00,000063.XSHE.CS,L,28.930000000000007,30.99,10900,10900,337791,22453.99999999991,
2021-11-29,16:00:00,600106.XSHG.CS,L,2.61,3.31,121700,121700,402827,85190.00000000001,
2021-11-30,16:00:00,000019.XSHE.CS,L,6.91,6.71,45800,45800,307318,-9160.000000000007,
2021-11-30,16:00:00,000063.XSHE.CS,L,28.930000000000007,30.68,10900,10900,334412,19074.999999999924,
2021-11-30,16:00:00,600106.XSHG.CS,L,2.61,3.27,121700,121700,397959,80322.00000000001,
2021-12-01,16:00:00,000019.XSHE.CS,L,6.91,6.75,45800,45800,309150,-7328.000000000006,
2021-12-01,16:00:00,000063.XSHE.CS,L,28.930000000000007,30.9,10900,10900,336810,21472.99999999991,
2021-12-01,16:00:00,600106.XSHG.CS,L,2.61,3.53,121700,121700,429601,111963.99999999999,
2021-12-02,16:00:00,000019.XSHE.CS,L,6.91,6.69,45800,45800,306402,-10075.999999999989,
2021-12-02,16:00:00,000063.XSHE.CS,L,28.930000000000007,30.58,10900,10900,333322,17984.999999999905,
2021-12-02,16:00:00,600106.XSHG.CS,L,2.61,3.55,121700,121700,432035,114398,
2021-12-03,16:00:00,000019.XSHE.CS,L,6.91,6.7,45800,45800,306860,-9617.999999999998,
2021-12-03,16:00:00,000063.XSHE.CS,L,28.930000000000007,30.94,10900,10900,337246,21908.999999999938,
2021-12-03,16:00:00,600106.XSHG.CS,L,2.61,3.53,121700,121700,429601,111963.99999999999,
2021-12-06,16:00:00,000019.XSHE.CS,L,6.91,6.69,45800,45800,306402,-10075.999999999989,
2021-12-06,16:00:00,000063.XSHE.CS,L,28.930000000000007,30.8,10900,10900,335720,20382.999999999935,
2021-12-06,16:00:00,600106.XSHG.CS,L,2.61,3.73,121700,121700,453941,136304,
2021-12-07,16:00:00,000019.XSHE.CS,L,6.91,6.7,45800,45800,306860,-9617.999999999998,
2021-12-07,16:00:00,000063.XSHE.CS,L,28.930000000000007,30.99,10900,10900,337791,22453.99999999991,
2021-12-07,16:00:00,600106.XSHG.CS,L,2.61,3.51,121700,121700,427167,109529.99999999999,
2021-12-08,16:00:00,000019.XSHE.CS,L,6.91,6.73,45800,45800,308234,-8243.999999999987,
2021-12-08,16:00:00,000063.XSHE.CS,L,28.930000000000007,31.18,10900,10900,339862,24524.999999999924,
2021-12-08,16:00:00,600106.XSHG.CS,L,2.61,3.86,121700,121700,469762,152125,
2021-12-09,16:00:00,000019.XSHE.CS,L,6.91,6.75,45800,45800,309150,-7328.000000000006,
2021-12-09,16:00:00,000063.XSHE.CS,L,28.930000000000007,31.93,10900,10900,348037,32699.999999999924,
2021-12-09,16:00:00,600106.XSHG.CS,L,2.61,4.01,121700,121700,488017,170380,
2021-12-10,16:00:00,000019.XSHE.CS,L,6.91,6.73,45800,45800,308234,-8243.999999999987,
2021-12-10,16:00:00,000063.XSHE.CS,L,28.930000000000007,32.11,10900,10900,349999,34661.99999999992,
2021-12-10,16:00:00,600106.XSHG.CS,L,2.61,4.25,121700,121700,517225,199588.00000000003,
2021-12-13,16:00:00,000019.XSHE.CS,L,6.91,6.71,45800,45800,307318,-9160.000000000007,
